fin_year,month,state_name,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Number_of_Completed_Works,Number_of_Ongoing_Works,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks,percentage_active_job_cards,log_Total_Households_Worked
2021-2022,April,ASSAM,NAGAON,663190.0,228.01534842374537,10.0,44.0,275.0,32700.0,20060.0,17565.0,10343.0,11941.0,625.43246,60679.0,79517.0,206178.0,341903.0,0.0,329962.0,508327.0,32975.0,625.43246,298785.0,87.0,47.6,83.53,99.9,Good,62.48537710403016,11.013369433462469
2021-2022,April,ASSAM,TINSUKIA,92849.0,228.01534842374537,8.0,5.0,250.0,12152.0,1892.0,3042.0,6466.0,17738.0,123.943816141,11572.0,13755.0,108940.0,180218.0,0.0,188257.0,281237.0,12402.0,117.10292,47991.0,87.0,85.9,83.875,100.65,Good,57.86770213059806,9.356430077848078
2021-2022,April,ASSAM,KARBI ANGLONG,105522.0,228.01534842374537,9.0,14.0,120.0,9512.0,1515.0,9530.0,57458.0,113522.125,52.427049,7556.0,9029.0,87403.0,171518.0,0.0,125645.0,233389.0,9632.0,50.94527,35088.0,59.5,91.88,83.875,100.65,Good,69.56345258466314,8.93022956502072
2021-2022,April,ASSAM,Biswanath,239719.0,228.01534842374537,9.0,163.5,154.0,6405.0,13980.0,14456.0,46458.0,36525.0,262.93018,24690.0,33477.0,102265.0,184853.0,0.0,160288.0,284043.0,6559.0,262.93018,123851.0,61.0,59.33,76.76,99.96,Good,63.80078358953883,10.114194083746655
2021-2022,April,ASSAM,WEST KARBI ANGLONG,0.0,228.01534842374537,9.0,1.0,53.0,5606.0,643.0,1866.0,28494.0,48169.0,42.42852,4026.0,4493.0,34434.0,62942.0,0.0,51434.0,91837.0,5659.0,42.42852,18286.0,87.0,95.8,78.19,100.19,Good,66.94793327370999,8.300776960851454
2021-2022,March,ASSAM,SONITPUR,2911554.0,228.01534842374537,35.0,70.0,4097.0,12508.0,88992.0,7020.0,154845.0,11549.0,8332.367777437,97841.0,113663.0,142191.0,192734.0,227.5,226123.0,329509.0,16605.0,7185.215666187501,1536031.75,74.0,59.71,81.46,100.55,Good,62.88214821137169,11.491109211689333
2021-2022,March,ASSAM,LAKHIMPUR,3301707.0,228.01534842374537,42.0,163.5,9208.0,15431.0,149327.375,15710.0,460323.625,89134.0,8405.946894008124,102912.25,139020.75,154518.0,353311.0,227.5,251944.0,524971.0,24639.0,7185.215666187501,1536031.75,82.0,75.68,82.47,100.0,Good,61.330295621249164,11.541641679324568
2021-2022,March,ASSAM,DHEMAJI,3301707.0,228.01534842374537,44.0,163.5,5879.0,7286.0,149327.375,13304.0,460323.625,113522.125,8405.946894008124,102912.25,139020.75,122402.0,292508.0,227.5,199483.0,526416.0,13165.0,7185.215666187501,1536031.75,65.0,54.67,79.82,99.53,Bad,61.3596146037507,11.541641679324568
2021-2022,March,ASSAM,NAGAON,3301707.0,228.01534842374537,36.0,163.5,9244.0,37418.0,149327.375,17877.0,129220.0,12129.0,8405.946894008124,102912.25,139020.75,212111.0,350531.0,227.5,369292.0,561087.0,46662.0,7185.215666187501,1536031.75,88.0,53.64,76.65,100.65,Good,57.43720416364286,11.541641679324568
2021-2022,March,ASSAM,GOLAGHAT,1635257.0,228.01534842374537,22.0,138.0,7097.0,9031.0,111003.0,15199.0,310059.0,35779.0,5304.191631798,96279.0,133725.0,140557.0,288187.0,227.5,206714.0,406408.0,16128.0,4866.161546,1053028.0,79.0,80.95,80.69,100.55,Good,67.99587836334258,11.475015891897009
